0:Met[Zsun],1:Age[Gyr],2:Rp[Rsun],3:Vinf[km/s],4:Mass1_i[MSUN],5:Mass2_i[Msun],6:R1[Rsun],7:R2[Rsun],8:Label,9:Mass1_f[MSUN],10:Mass2_f[MSUN],11:Sigma
0.010,0.000020174,3.50935, 1000,64.000000,64.000000, 7.6629500, 7.6629500, 1,  0.000000,122.214500,1
0.010,0.000020174,3.50935,  100,64.000000,64.000000, 7.6629500, 7.6629500, 1,  0.000000,124.277600,1
0.010,0.000020174,3.50935,   10,64.000000,64.000000, 7.6629500, 7.6629500, 1,124.332800,  0.000000,1
0.010,0.000020174,3.50935,16000,64.000000,64.000000, 7.6629500, 7.6629500, 0,  0.000000,  0.000000,1
0.010,0.000020174,3.50935, 2000,64.000000,64.000000, 7.6629500, 7.6629500, 1,108.633700,  0.000000,1
0.010,0.000020174,3.50935,  250,64.000000,64.000000, 7.6629500, 7.6629500, 1,  0.000000,124.238600,1
0.010,0.000020174,3.50935, 4000,64.000000,64.000000, 7.6629500, 7.6629500, 2, 31.764230, 31.645010,1
0.010,0.000020174,3.50935,  500,64.000000,64.000000, 7.6629500, 7.6629500, 1,  0.000000,123.951600,1
0.010,0.000020174,3.50935, 8000,64.000000,64.000000, 7.6629500, 7.6629500, 0,  0.000000,  0.000000,1
0.010,0.000020174,4.18618, 1000,64.000000,64.000000, 7.6629500, 7.6629500, 1,122.017400,  0.000000,1
0.010,0.000020174,4.18618,  100,64.000000,64.000000, 7.6629500, 7.6629500, 1,124.081200,  0.000000,1
0.010,0.000020174,4.18618,   10,64.000000,64.000000, 7.6629500, 7.6629500, 1,124.028300,  0.000000,1
0.010,0.000020174,4.18618,16000,64.000000,64.000000, 7.6629500, 7.6629500, 0,  0.000000,  0.000000,1
0.010,0.000020174,4.18618, 2000,64.000000,64.000000, 7.6629500, 7.6629500, 2, 61.256750, 61.226650,1
0.010,0.000020174,4.18618,  250,64.000000,64.000000, 7.6629500, 7.6629500, 1,123.747400,  0.000000,1
0.010,0.000020174,4.18618, 4000,64.000000,64.000000, 7.6629500, 7.6629500, 2, 47.837330, 47.499240,1
0.010,0.000020174,4.18618,  500,64.000000,64.000000, 7.6629500, 7.6629500, 1,  0.000000,123.031700,1
0.010,0.000020174,4.18618, 8000,64.000000,64.000000, 7.6629500, 7.6629500, 0,  0.000000,  0.000000,1
0.010,0.000020174,4.80543, 1000,64.000000,64.000000, 7.6629500, 7.6629500, 1,  0.000000,121.756600,1
0.010,0.000020174,4.80543,  100,64.000000,64.000000, 7.6629500, 7.6629500, 1,  0.000000,122.794700,1
0.010,0.000020174,4.80543,   10,64.000000,64.000000, 7.6629500, 7.6629500, 1,122.843500,  0.000000,1
0.010,0.000020174,4.80543,16000,64.000000,64.000000, 7.6629500, 7.6629500, 0,  0.000000,  0.000000,1
0.010,0.000020174,4.80543, 2000,64.000000,64.000000, 7.6629500, 7.6629500, 2, 61.996000, 62.007450,1
0.010,0.000020174,4.80543,  250,64.000000,64.000000, 7.6629500, 7.6629500, 1,  0.000000,122.899300,1
0.010,0.000020174,4.80543, 4000,64.000000,64.000000, 7.6629500, 7.6629500, 2, 55.895240, 55.906340,1
0.010,0.000020174,4.80543,  500,64.000000,64.000000, 7.6629500, 7.6629500, 1,123.572500,  0.000000,1
0.010,0.000020174,4.80543, 8000,64.000000,64.000000, 7.6629500, 7.6629500, 2, 17.842610, 18.055710,1
0.010,0.000020174,5.41329, 1000,64.000000,64.000000, 7.6629500, 7.6629500, 1,121.700700,  0.000000,1
0.010,0.000020174,5.41329,  100,64.000000,64.000000, 7.6629500, 7.6629500, 1,122.858300,  0.000000,1
0.010,0.000020174,5.41329,   10,64.000000,64.000000, 7.6629500, 7.6629500, 1,  0.000000,124.806000,1
0.010,0.000020174,5.41329,16000,64.000000,64.000000, 7.6629500, 7.6629500, 0,  0.000000,  0.000000,1
0.010,0.000020174,5.41329, 2000,64.000000,64.000000, 7.6629500, 7.6629500, 2, 62.690190, 62.589930,1
0.010,0.000020174,5.41329,  250,64.000000,64.000000, 7.6629500, 7.6629500, 1,  0.000000,124.607300,1
0.010,0.000020174,5.41329, 4000,64.000000,64.000000, 7.6629500, 7.6629500, 2, 59.847900, 59.883460,1
0.010,0.000020174,5.41329,  500,64.000000,64.000000, 7.6629500, 7.6629500, 1,123.479600,  0.000000,1
0.010,0.000020174,5.41329, 8000,64.000000,64.000000, 7.6629500, 7.6629500, 2, 43.125590, 43.135110,1
0.010,0.000020174,6.04353, 1000,64.000000,64.000000, 7.6629500, 7.6629500, 1,122.318000,  0.000000,1
0.010,0.000020174,6.04353,  100,64.000000,64.000000, 7.6629500, 7.6629500, 1,124.790900,  0.000000,1
0.010,0.000020174,6.04353,   10,64.000000,64.000000, 7.6629500, 7.6629500, 1,  0.000000,124.791100,1
0.010,0.000020174,6.04353,16000,64.000000,64.000000, 7.6629500, 7.6629500, 2,  8.581903,  8.704875,1
0.010,0.000020174,6.04353, 2000,64.000000,64.000000, 7.6629500, 7.6629500, 2, 63.104280, 63.035380,1
0.010,0.000020174,6.04353,  250,64.000000,64.000000, 7.6629500, 7.6629500, 1,  0.000000,124.784200,1
0.010,0.000020174,6.04353, 4000,64.000000,64.000000, 7.6629500, 7.6629500, 2, 61.683270, 61.662270,1
0.010,0.000020174,6.04353,  500,64.000000,64.000000, 7.6629500, 7.6629500, 1,124.510500,  0.000000,1
0.010,0.000020174,6.04353, 8000,64.000000,64.000000, 7.6629500, 7.6629500, 2, 55.192790, 55.158760,1
0.010,0.000020174,6.73489, 1000,64.000000,64.000000, 7.6629500, 7.6629500, 1,  0.000000,120.012800,1
0.010,0.000020174,6.73489,  100,64.000000,64.000000, 7.6629500, 7.6629500, 1,  0.000000,124.991200,1
0.010,0.000020174,6.73489,   10,64.000000,64.000000, 7.6629500, 7.6629500, 1,  0.000000,125.063400,1
0.010,0.000020174,6.73489,16000,64.000000,64.000000, 7.6629500, 7.6629500, 2, 45.039450, 45.348510,1
0.010,0.000020174,6.73489, 2000,64.000000,64.000000, 7.6629500, 7.6629500, 2, 63.367770, 63.400540,1
0.010,0.000020174,6.73489,  250,64.000000,64.000000, 7.6629500, 7.6629500, 1,125.044900,  0.000000,1
0.010,0.000020174,6.73489, 4000,64.000000,64.000000, 7.6629500, 7.6629500, 2, 62.726190, 62.731220,1
0.010,0.000020174,6.73489,  500,64.000000,64.000000, 7.6629500, 7.6629500, 1,124.636700,  0.000000,1
0.010,0.000020174,6.73489, 8000,64.000000,64.000000, 7.6629500, 7.6629500, 2, 60.081160, 60.088580,1
0.010,0.000020174,7.55279, 1000,64.000000,64.000000, 7.6629500, 7.6629500, 2, 63.821240, 63.776180,1
0.010,0.000020174,7.55279,  100,64.000000,64.000000, 7.6629500, 7.6629500, 1,125.280100,  0.000000,1
0.010,0.000020174,7.55279,   10,64.000000,64.000000, 7.6629500, 7.6629500, 1,  0.000000,123.526600,1
0.010,0.000020174,7.55279,16000,64.000000,64.000000, 7.6629500, 7.6629500, 2, 58.280500, 58.271150,1
0.010,0.000020174,7.55279, 2000,64.000000,64.000000, 7.6629500, 7.6629500, 2, 63.618800, 63.594880,1
0.010,0.000020174,7.55279,  250,64.000000,64.000000, 7.6629500, 7.6629500, 1,123.751200,  0.000000,1
0.010,0.000020174,7.55279, 4000,64.000000,64.000000, 7.6629500, 7.6629500, 2, 63.349090, 63.384030,1
0.010,0.000020174,7.55279,  500,64.000000,64.000000, 7.6629500, 7.6629500, 1,124.337200,  0.000000,1
0.010,0.000020174,7.55279, 8000,64.000000,64.000000, 7.6629500, 7.6629500, 2, 62.321740, 62.258630,1
0.010,0.000020174,8.69692, 1000,64.000000,64.000000, 7.6629500, 7.6629500, 2, 63.893960, 63.887430,1
0.010,0.000020174,8.69692,  100,64.000000,64.000000, 7.6629500, 7.6629500, 1,124.468800,  0.000000,1
0.010,0.000020174,8.69692,   10,64.000000,64.000000, 7.6629500, 7.6629500, 1,124.367400,  0.000000,1
